precision,recall,f1-score,support
1.0,1.0,1.0,41.0
1.0,1.0,1.0,42.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,35.0
1.0,0.97,0.99,35.0
1.0,1.0,1.0,36.0
1.0,1.0,1.0,37.0
0.94,0.97,0.96,34.0
0.98,0.96,0.97,48.0
1.0,1.0,1.0,52.0
1.0,0.98,0.99,46.0
1.0,1.0,1.0,48.0
1.0,1.0,1.0,27.0
0.97,1.0,0.98,30.0
0.97,0.97,0.97,37.0
1.0,1.0,1.0,29.0
1.0,1.0,1.0,23.0
1.0,0.97,0.98,30.0
1.0,1.0,1.0,31.0
1.0,1.0,1.0,33.0
0.96,1.0,0.98,24.0
0.98,1.0,0.99,46.0
1.0,1.0,1.0,48.0
1.0,1.0,1.0,32.0
1.0,1.0,1.0,33.0
0.99,0.99,0.99,947.0
