precision,recall,f1-score,support
1.0,1.0,1.0,41.0
1.0,1.0,1.0,37.0
1.0,1.0,1.0,31.0
1.0,1.0,1.0,34.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,32.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,41.0
0.94,0.94,0.94,32.0
0.95,0.95,0.95,43.0
1.0,1.0,1.0,54.0
1.0,1.0,1.0,48.0
1.0,1.0,1.0,48.0
1.0,0.96,0.98,26.0
1.0,1.0,1.0,37.0
0.97,1.0,0.99,34.0
1.0,1.0,1.0,31.0
1.0,1.0,1.0,24.0
1.0,1.0,1.0,31.0
1.0,1.0,1.0,28.0
1.0,1.0,1.0,38.0
1.0,1.0,1.0,24.0
1.0,1.0,1.0,44.0
1.0,1.0,1.0,47.0
1.0,1.0,1.0,32.0
1.0,1.0,1.0,31.0
0.99,0.99,0.99,938.0
