precision,recall,f1-score,support
0.99,0.98,0.99,179.0
0.99,0.99,0.99,181.0
0.97,0.94,0.95,147.0
1.0,1.0,1.0,153.0
0.93,0.93,0.93,148.0
0.93,0.97,0.95,149.0
0.99,1.0,0.99,154.0
1.0,0.98,0.99,158.0
0.6,0.14,0.23,145.0
0.61,0.96,0.75,206.0
0.85,0.92,0.88,227.0
0.9,0.68,0.78,198.0
1.0,1.0,1.0,207.0
0.87,0.85,0.86,114.0
0.95,0.97,0.96,130.0
0.58,0.48,0.52,157.0
1.0,1.0,1.0,126.0
0.95,0.96,0.96,103.0
1.0,0.97,0.98,131.0
1.0,1.0,1.0,132.0
1.0,0.99,1.0,142.0
0.58,0.96,0.72,104.0
0.97,0.93,0.95,201.0
0.99,1.0,0.99,210.0
1.0,1.0,1.0,136.0
1.0,0.99,0.99,141.0
0.91,0.91,0.9,4079.0
