precision,recall,f1-score,support
0.89,0.97,0.93,167.0
1.0,1.0,1.0,168.0
1.0,1.0,1.0,136.0
0.97,0.98,0.98,142.0
0.99,0.97,0.98,138.0
0.96,0.95,0.95,138.0
1.0,1.0,1.0,143.0
0.92,0.95,0.93,147.0
0.88,0.92,0.9,136.0
0.86,0.92,0.89,191.0
1.0,1.0,1.0,210.0
0.94,0.97,0.96,184.0
0.96,0.93,0.94,192.0
0.86,0.95,0.9,107.0
0.94,0.97,0.95,120.0
0.88,0.68,0.77,145.0
0.97,0.98,0.98,117.0
0.96,0.96,0.96,95.0
0.92,0.92,0.92,122.0
0.91,0.85,0.88,123.0
0.96,0.97,0.97,131.0
0.74,0.76,0.75,96.0
0.96,0.95,0.95,187.0
0.95,0.95,0.95,196.0
0.93,0.86,0.89,126.0
0.97,0.95,0.96,131.0
0.94,0.94,0.93,3788.0
