precision,recall,f1-score,support
0.86,0.96,0.9,167.0
1.0,1.0,1.0,168.0
0.99,1.0,1.0,136.0
0.97,0.95,0.96,142.0
0.97,1.0,0.99,138.0
0.92,0.95,0.94,138.0
0.99,1.0,1.0,143.0
0.88,0.92,0.9,147.0
0.75,0.88,0.81,136.0
0.81,0.85,0.83,191.0
1.0,1.0,1.0,210.0
0.94,0.97,0.95,184.0
0.97,0.89,0.92,192.0
0.82,0.93,0.87,107.0
0.94,0.98,0.96,120.0
0.87,0.7,0.77,145.0
0.97,0.98,0.98,117.0
0.94,0.96,0.95,95.0
0.9,0.89,0.9,122.0
0.88,0.82,0.85,123.0
0.95,0.95,0.95,131.0
0.69,0.66,0.67,96.0
0.96,0.92,0.94,187.0
0.99,0.92,0.95,196.0
0.86,0.79,0.82,126.0
0.96,0.95,0.95,131.0
0.91,0.92,0.91,3788.0
