precision,recall,f1-score,support
0.84,0.96,0.89,167.0
1.0,1.0,1.0,168.0
0.99,1.0,1.0,136.0
0.96,0.95,0.95,142.0
0.98,0.99,0.99,138.0
0.91,0.93,0.92,138.0
0.99,1.0,1.0,143.0
0.84,0.94,0.88,147.0
0.71,0.92,0.8,136.0
0.78,0.77,0.78,191.0
1.0,1.0,1.0,210.0
0.91,0.96,0.94,184.0
0.96,0.86,0.91,192.0
0.68,0.94,0.79,107.0
0.94,0.98,0.96,120.0
0.88,0.57,0.69,145.0
0.97,0.97,0.97,117.0
0.93,0.89,0.91,95.0
0.87,0.89,0.88,122.0
0.89,0.68,0.77,123.0
0.94,0.98,0.96,131.0
0.72,0.66,0.69,96.0
0.96,0.94,0.95,187.0
0.96,0.87,0.91,196.0
0.84,0.71,0.77,126.0
0.95,0.96,0.95,131.0
0.9,0.9,0.89,3788.0
