precision,recall,f1-score,support
0.86,0.93,0.89,167.0
1.0,1.0,1.0,168.0
0.99,1.0,1.0,136.0
0.98,0.94,0.96,142.0
0.97,1.0,0.98,138.0
0.92,0.96,0.94,138.0
0.99,1.0,1.0,143.0
0.86,0.91,0.88,147.0
0.78,0.9,0.83,136.0
0.81,0.84,0.83,191.0
1.0,1.0,1.0,210.0
0.93,0.96,0.95,184.0
0.97,0.89,0.93,192.0
0.83,0.93,0.88,107.0
0.93,0.96,0.94,120.0
0.83,0.72,0.77,145.0
0.97,0.99,0.98,117.0
0.93,0.94,0.93,95.0
0.89,0.87,0.88,122.0
0.91,0.8,0.85,123.0
0.94,0.95,0.94,131.0
0.68,0.71,0.69,96.0
0.95,0.93,0.94,187.0
0.97,0.9,0.93,196.0
0.88,0.75,0.81,126.0
0.96,0.95,0.95,131.0
0.91,0.91,0.91,3788.0
