precision,recall,f1-score,support
0.9,0.98,0.94,167.0
1.0,1.0,1.0,168.0
1.0,1.0,1.0,136.0
0.99,0.99,0.99,142.0
0.99,0.99,0.99,138.0
0.96,0.97,0.96,138.0
0.99,1.0,1.0,143.0
0.94,0.95,0.94,147.0
0.9,0.94,0.92,136.0
0.87,0.9,0.88,191.0
1.0,1.0,1.0,210.0
0.95,0.98,0.96,184.0
0.96,0.94,0.95,192.0
0.88,0.96,0.92,107.0
0.95,0.98,0.96,120.0
0.84,0.72,0.77,145.0
0.97,0.98,0.98,117.0
0.97,0.97,0.97,95.0
0.9,0.92,0.91,122.0
0.9,0.85,0.87,123.0
0.97,0.96,0.97,131.0
0.73,0.73,0.73,96.0
0.97,0.94,0.96,187.0
0.98,0.96,0.97,196.0
0.92,0.88,0.9,126.0
0.97,0.95,0.96,131.0
0.94,0.94,0.94,3788.0
