precision,recall,f1-score,support
0.84,0.52,0.64,167.0
1.0,1.0,1.0,168.0
1.0,1.0,1.0,136.0
0.71,0.98,0.82,142.0
0.98,0.98,0.98,138.0
0.95,0.54,0.69,138.0
1.0,1.0,1.0,143.0
0.82,0.33,0.47,147.0
0.65,0.96,0.77,136.0
0.66,0.73,0.69,191.0
1.0,0.99,0.99,210.0
0.74,0.99,0.84,184.0
0.86,0.7,0.77,192.0
0.59,0.93,0.72,107.0
0.94,0.79,0.86,120.0
0.58,0.34,0.43,145.0
0.97,0.97,0.97,117.0
0.61,0.92,0.73,95.0
0.68,0.9,0.77,122.0
0.82,0.26,0.4,123.0
0.95,0.96,0.95,131.0
0.33,0.61,0.43,96.0
0.78,0.97,0.86,187.0
0.62,0.66,0.64,196.0
0.59,0.16,0.25,126.0
0.93,0.95,0.94,131.0
0.79,0.77,0.75,3788.0
