precision,recall,f1-score,support
1.0,1.0,1.0,41.0
1.0,1.0,1.0,42.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,35.0
1.0,1.0,1.0,36.0
1.0,1.0,1.0,37.0
0.94,0.94,0.94,34.0
0.96,0.96,0.96,48.0
1.0,1.0,1.0,52.0
1.0,1.0,1.0,46.0
1.0,1.0,1.0,48.0
1.0,1.0,1.0,27.0
1.0,1.0,1.0,30.0
1.0,1.0,1.0,37.0
1.0,1.0,1.0,29.0
1.0,1.0,1.0,23.0
1.0,1.0,1.0,30.0
1.0,1.0,1.0,31.0
1.0,1.0,1.0,33.0
1.0,1.0,1.0,24.0
1.0,1.0,1.0,46.0
1.0,1.0,1.0,48.0
1.0,1.0,1.0,32.0
1.0,1.0,1.0,33.0
1.0,1.0,1.0,947.0
