precision,recall,f1-score,support
1.0,1.0,1.0,799.0
1.0,1.0,1.0,857.0
1.0,1.0,1.0,680.0
0.99,1.0,1.0,717.0
1.0,1.0,1.0,701.0
1.0,0.99,0.99,696.0
0.99,1.0,1.0,718.0
1.0,1.0,1.0,728.0
0.94,0.78,0.85,681.0
0.86,0.96,0.91,947.0
1.0,1.0,1.0,1041.0
0.99,0.99,0.99,904.0
1.0,1.0,1.0,966.0
0.99,0.97,0.98,527.0
0.99,1.0,0.99,600.0
0.97,0.97,0.97,728.0
1.0,1.0,1.0,613.0
1.0,1.0,1.0,462.0
1.0,0.99,0.99,622.0
1.0,1.0,1.0,604.0
1.0,1.0,1.0,661.0
0.94,0.99,0.96,472.0
1.0,0.98,0.99,954.0
1.0,1.0,1.0,986.0
1.0,1.0,1.0,628.0
1.0,1.0,1.0,652.0
0.99,0.99,0.99,18944.0
