precision,recall,f1-score,support
1.0,1.0,1.0,179.0
0.99,0.99,0.99,181.0
0.97,0.97,0.97,147.0
0.99,0.99,0.99,153.0
0.96,0.94,0.95,148.0
0.95,0.98,0.96,149.0
1.0,0.99,1.0,154.0
1.0,0.99,0.99,158.0
0.82,0.81,0.82,145.0
0.86,0.89,0.88,206.0
0.87,0.9,0.88,227.0
0.91,0.84,0.87,198.0
1.0,1.0,1.0,207.0
0.88,0.81,0.84,114.0
1.0,0.96,0.98,130.0
0.84,0.93,0.88,157.0
1.0,1.0,1.0,126.0
0.97,1.0,0.99,103.0
1.0,0.99,1.0,131.0
1.0,1.0,1.0,132.0
1.0,1.0,1.0,142.0
0.99,0.96,0.98,104.0
0.97,0.98,0.98,201.0
1.0,1.0,1.0,210.0
1.0,1.0,1.0,136.0
1.0,0.99,0.99,141.0
0.96,0.96,0.96,4079.0
