precision,recall,f1-score,support
1.0,1.0,1.0,179.0
1.0,1.0,1.0,181.0
0.97,0.99,0.98,147.0
1.0,0.99,1.0,153.0
0.99,0.96,0.97,148.0
0.97,0.97,0.97,149.0
0.99,1.0,0.99,154.0
1.0,0.99,1.0,158.0
0.88,0.83,0.85,145.0
0.88,0.93,0.9,206.0
0.9,0.93,0.91,227.0
0.91,0.88,0.89,198.0
1.0,1.0,1.0,207.0
0.92,0.85,0.89,114.0
1.0,0.98,0.99,130.0
0.91,0.94,0.92,157.0
1.0,1.0,1.0,126.0
0.99,1.0,1.0,103.0
1.0,1.0,1.0,131.0
1.0,1.0,1.0,132.0
1.0,1.0,1.0,142.0
0.98,0.98,0.98,104.0
0.99,1.0,0.99,201.0
1.0,1.0,1.0,210.0
1.0,1.0,1.0,136.0
1.0,0.99,1.0,141.0
0.97,0.97,0.97,4079.0
