precision,recall,f1-score,support
1.0,1.0,1.0,179.0
0.99,1.0,0.99,181.0
0.98,0.99,0.98,147.0
0.99,1.0,1.0,153.0
0.99,0.94,0.97,148.0
0.94,0.99,0.96,149.0
1.0,0.99,1.0,154.0
1.0,0.99,0.99,158.0
0.82,0.75,0.78,145.0
0.83,0.89,0.86,206.0
0.9,0.91,0.91,227.0
0.91,0.86,0.88,198.0
1.0,1.0,1.0,207.0
0.9,0.83,0.86,114.0
0.99,0.96,0.98,130.0
0.82,0.94,0.87,157.0
1.0,1.0,1.0,126.0
0.97,0.98,0.98,103.0
0.99,0.99,0.99,131.0
1.0,1.0,1.0,132.0
1.0,1.0,1.0,142.0
0.99,0.96,0.98,104.0
0.97,0.96,0.96,201.0
1.0,1.0,1.0,210.0
1.0,1.0,1.0,136.0
1.0,0.99,0.99,141.0
0.96,0.96,0.96,4079.0
