precision,recall,f1-score,support
0.82,0.93,0.87,167.0
1.0,1.0,1.0,168.0
0.99,1.0,1.0,136.0
0.94,0.96,0.95,142.0
0.99,0.99,0.99,138.0
0.92,0.93,0.92,138.0
0.99,1.0,1.0,143.0
0.83,0.9,0.87,147.0
0.71,0.88,0.79,136.0
0.76,0.77,0.77,191.0
0.99,1.0,0.99,210.0
0.89,0.96,0.93,184.0
0.95,0.85,0.9,192.0
0.74,0.86,0.79,107.0
0.94,0.98,0.96,120.0
0.81,0.61,0.69,145.0
0.97,0.96,0.97,117.0
0.93,0.85,0.89,95.0
0.87,0.89,0.88,122.0
0.77,0.69,0.73,123.0
0.94,0.98,0.96,131.0
0.73,0.67,0.7,96.0
0.97,0.94,0.95,187.0
0.94,0.88,0.91,196.0
0.82,0.67,0.74,126.0
0.93,0.96,0.95,131.0
0.89,0.89,0.89,3788.0
