precision,recall,f1-score,support
0.91,0.97,0.94,167.0
1.0,1.0,1.0,168.0
0.99,1.0,1.0,136.0
0.97,0.95,0.96,142.0
0.99,1.0,1.0,138.0
0.93,0.95,0.94,138.0
1.0,1.0,1.0,143.0
0.93,0.96,0.94,147.0
0.89,0.93,0.91,136.0
0.86,0.92,0.89,191.0
1.0,1.0,1.0,210.0
0.92,0.97,0.94,184.0
0.97,0.92,0.94,192.0
0.87,0.98,0.92,107.0
0.94,0.97,0.95,120.0
0.91,0.69,0.78,145.0
0.97,0.98,0.98,117.0
0.95,0.93,0.94,95.0
0.88,0.92,0.9,122.0
0.9,0.85,0.87,123.0
0.96,0.97,0.97,131.0
0.76,0.74,0.75,96.0
0.95,0.94,0.95,187.0
0.97,0.95,0.96,196.0
0.93,0.84,0.88,126.0
0.95,0.95,0.95,131.0
0.93,0.93,0.93,3788.0
